T t_cool t_int_cool 4PI_epsilon
1.43998348686576210786e-01 7.22511376425444036722e+07 1.18815229466058063507e+10 1.18038477775374190870e-33
1.44290346312835243703e-01 7.18144620239088237286e+07 1.18097084845818977356e+10 1.19480247908278009886e-33
1.44582936047368576515e-01 7.13803737421744465828e+07 1.17383281108397235870e+10 1.20939628418840473752e-33
1.44876119090844163173e-01 7.09490544599847048521e+07 1.16673790563797397614e+10 1.22416834408642720020e-33
1.45169896646364759984e-01 7.05202584045659452677e+07 1.15968587979751739502e+10 1.23912083606646692339e-33
1.45464269919472699577e-01 7.00939572252908945084e+07 1.15267648407498836517e+10 1.25425596401286996392e-33
1.45759240118154886900e-01 6.96703272124129086733e+07 1.14570945135374698639e+10 1.26957595872954767027e-33
1.46054808452847822986e-01 6.92493339789673835039e+07 1.13878451795585021973e+10 1.28508307826879995432e-33
1.46350976136442406661e-01 6.88307448987129479647e+07 1.13190144346597900391e+10 1.30077960826414796666e-33
1.46647744384289069330e-01 6.84147310896688699722e+07 1.12505997035701217651e+10 1.31666786226722304525e-33
1.46945114414202798736e-01 6.80012605005785822868e+07 1.11825984430695438385e+10 1.33275018208879763678e-33
1.47243087446467912915e-01 6.75903018509489446878e+07 1.11150081412185955048e+10 1.34902893814393920356e-33
1.47541664703843278250e-01 6.71818246127211749554e+07 1.10478263166058750153e+10 1.36550652980141609274e-33
1.47840847411567222203e-01 6.67757989921571686864e+07 1.09810505176137180328e+10 1.38218538573736289449e-33
1.48140636797362584831e-01 6.63721959122078493237e+07 1.09146783217015094757e+10 1.39906796429324651372e-33
1.48441034091441881326e-01 6.59711698431807309389e+07 1.08487071518583278656e+10 1.41615675383824739262e-33
1.48742040526512020460e-01 6.55723251875413283706e+07 1.07831348266707859039e+10 1.43345427313600542201e-33
1.49043657337779800187e-01 6.51761769204519763589e+07 1.07179586497503337860e+10 1.45096307171592075703e-33
1.49345885762956515075e-01 6.47821568163359835744e+07 1.06531764929339981079e+10 1.46868573024889492884e-33
1.49648727042263479659e-01 6.43905940289802625775e+07 1.05887858989050178528e+10 1.48662486092777106157e-33
1.49952182418436802402e-01 6.40014572014238312840e+07 1.05247844417035942078e+10 1.50478310785234011226e-33
1.50256253136732687015e-01 6.36147157307847663760e+07 1.04611697259728088379e+10 1.52316314741907495354e-33
1.50560940444932261917e-01 6.32301717992971986532e+07 1.03979395541735115051e+10 1.54176768871561966825e-33
1.50866245593347131360e-01 6.28481341873642951250e+07 1.03350914199861469269e+10 1.56059947392012574252e-33
1.51172169834824010604e-01 6.24682405239972323179e+07 1.02726231794621505737e+10 1.57966127870541993317e-33
1.51478714424750332546e-01 6.20906309254874512553e+07 1.02105325485366630554e+10 1.59895591264814937900e-33
1.51785880621059104945e-01 6.17154382162464484572e+07 1.01488171103204174042e+10 1.61848621964290361369e-33
1.52093669684234045203e-01 6.13424720329738929868e+07 1.00874746382874431610e+10 1.63825507832138241650e-33
1.52402082877315103726e-01 6.09717065707320868969e+07 1.00265029317167110443e+10 1.65826540247673505628e-33
1.52711121465903099104e-01 6.06031166452623233199e+07 9.96589981507144927979e+09 1.67852014149300934852e-33
1.53020786718165491269e-01 6.02369824902721941471e+07 9.90566283258117675781e+09 1.69902228077991100409e-33
1.53331079904841183215e-01 5.98728173825665712357e+07 9.84579001519861030579e+09 1.71977484221284282151e-33
1.53642002299245822305e-01 5.95110497450608089566e+07 9.78627896545355033875e+09 1.74078088457830890910e-33
1.53953555177277184862e-01 5.91513521139262095094e+07 9.72712761333962440491e+09 1.76204350402480059796e-33
1.54265739817420172164e-01 5.87938475644909590483e+07 9.66833376577513313293e+09 1.78356583451913051846e-33
1.54578557500752222786e-01 5.84385092662359997630e+07 9.60989525650889778137e+09 1.80535104830840026608e-33
1.54892009510948586160e-01 5.80853110339418947697e+07 9.55180994547495651245e+09 1.82740235638757462954e-33
1.55206097134287429595e-01 5.77342273121633902192e+07 9.49407571816279220581e+09 1.84972300897276227852e-33
1.55520821659655333891e-01 5.73852331601312756538e+07 9.43669048500266075134e+09 1.87231629598033017726e-33
1.55836184378552289331e-01 5.70384408679420426488e+07 9.37965204413471794128e+09 1.89518554751176961685e-33
1.56152186585097302318e-01 5.66936867512837499380e+07 9.32295835738343429565e+09 1.91833413434461082089e-33
1.56468829576033585660e-01 5.63510810386917591095e+07 9.26660727634474182129e+09 1.94176546842923764719e-33
1.56786114650733832132e-01 5.60104645893563553691e+07 9.21059681175538635254e+09 1.96548300339179944312e-33
1.57104043111205515793e-01 5.56719455897923707962e+07 9.15492486616559410095e+09 1.98949023504327581912e-33
1.57422616262096443096e-01 5.53354978884715288877e+07 9.09958936827712249756e+09 2.01379070189476789487e-33
1.57741835410699776654e-01 5.50010959627747684717e+07 9.04458827231434822083e+09 2.03838798567902901850e-33
1.58061701866959752882e-01 5.46687149040795043111e+07 8.98991955741026878357e+09 2.06328571187845254316e-33
1.58382216943476872295e-01 5.43382064178499877453e+07 8.93558135099241828918e+09 2.08848755025944173813e-33
1.58703381955513200818e-01 5.40097962457867860794e+07 8.88157155474663162231e+09 2.11399721541330962761e-33
1.59025198220998004173e-01 5.36834567456127479672e+07 8.82788809800101852417e+09 2.13981846730383465506e-33
1.59347667060532882655e-01 5.33589218385010361671e+07 8.77452917616251754761e+09 2.16595511182143933021e-33
1.59670789797397461030e-01 5.30364100678696781397e+07 8.72149276609464836121e+09 2.19241100134419986404e-33
1.59994567757554662091e-01 5.27158956346419453621e+07 8.66877687046000671387e+09 2.21919003530569397595e-33
1.60319002269656118997e-01 5.23972380853508859873e+07 8.61637963237465667725e+09 2.24629616076968584692e-33
